model,mse_cormat,mse,seed,data,d_dim
VAE,2.2656902999333895e-4,0.019886637506300438,1,BB Train,18
PCA,0.0014174550838522717,0.06125225813883767,1,BB Train,18
VAE,2.7329831244103143e-4,0.02036118716788365,2,BB Train,18
PCA,0.001407384337841806,0.06096935247682353,2,BB Train,18
VAE,2.7045149709099885e-4,0.020265239714060957,3,BB Train,18
PCA,0.0014084658682028094,0.06172952198131018,3,BB Train,18
VAE,2.2616316008296314e-4,0.019575614993950295,4,BB Train,18
PCA,0.0014001595686790388,0.06037095702872924,4,BB Train,18
VAE,2.677902123548715e-4,0.020432195937192987,5,BB Train,18
PCA,0.0014084849813305255,0.062009011121802265,5,BB Train,18
VAE,2.750200317149671e-4,0.020309921019455855,6,BB Train,18
PCA,0.0014013431479544959,0.0604247304883459,6,BB Train,18
VAE,1.99504143226311e-4,0.01885520747641638,7,BB Train,18
PCA,0.0014094499439023828,0.059073066703122755,7,BB Train,18
VAE,2.2657776977838705e-4,0.0196597953818607,8,BB Train,18
PCA,0.0014131329295783484,0.06096635177584264,8,BB Train,18
VAE,2.7183768861777845e-4,0.02023394230615372,9,BB Train,18
PCA,0.0014032533689721134,0.06080742290066412,9,BB Train,18
VAE,2.7259847056520077e-4,0.02070603997597284,10,BB Train,18
PCA,0.0014046265647263197,0.06194610530885358,10,BB Train,18
VAE,2.2711728295240477e-4,0.01975778871903727,11,BB Train,18
PCA,0.0014259227205794135,0.06194982570867801,11,BB Train,18
VAE,2.2452414581213134e-4,0.019486302235467927,12,BB Train,18
PCA,0.001406482908280972,0.06056902837483073,12,BB Train,18
VAE,1.9755924365034386e-4,0.018995608814428803,13,BB Train,18
PCA,0.0014603196497405655,0.06051864458614018,13,BB Train,18
VAE,1.9904198414734297e-4,0.018871208290811008,14,BB Train,18
PCA,0.001421532524725064,0.05926529329226427,14,BB Train,18
VAE,1.9904252353153282e-4,0.019344888618037556,15,BB Train,18
PCA,0.0014752633993293123,0.061598712755733837,15,BB Train,18
VAE,2.6889781968343217e-4,0.020366379181624126,16,BB Train,18
PCA,0.0014320643746714564,0.06225055244726308,16,BB Train,18
VAE,2.2317449763017513e-4,0.019575372729331665,17,BB Train,18
PCA,0.0013985075636064786,0.06069340762400285,17,BB Train,18
VAE,1.960714754268881e-4,0.01889449170638301,18,BB Train,18
PCA,0.0014880639759999878,0.06016990676695662,18,BB Train,18
VAE,2.2463429766344728e-4,0.019432413339676873,19,BB Train,18
PCA,0.0014129488691442935,0.06023800712982268,19,BB Train,18
VAE,2.016460424630666e-4,0.0190556668725997,20,BB Train,18
PCA,0.0014968319004698796,0.061053745742201355,20,BB Train,18
VAE,2.006983924315934e-4,0.019168448671435294,21,BB Train,18
PCA,0.001432840517589984,0.06013715363504806,21,BB Train,18
VAE,1.9498349218403019e-4,0.018852398116004324,22,BB Train,18
PCA,0.001478229890595667,0.060320046210828,22,BB Train,18
VAE,2.2847149059600444e-4,0.019834084727476844,23,BB Train,18
PCA,0.0014050016828261029,0.06091468456137148,23,BB Train,18
VAE,1.999537410720412e-4,0.019071222908006252,24,BB Train,18
PCA,0.001439923839955611,0.060013409161953704,24,BB Train,18
VAE,2.2589482032002225e-4,0.019949041652523283,25,BB Train,18
PCA,0.0014417797792009679,0.062448141482598744,25,BB Train,18
VAE,3.2333554217553836e-4,0.02112760178216963,26,BB Train,18
PCA,0.0014168278213894162,0.06290108840568509,26,BB Train,18
VAE,1.9936374728842836e-4,0.018966028236003928,27,BB Train,18
PCA,0.001420559704923987,0.05918953854174391,27,BB Train,18
VAE,2.2242885040978062e-4,0.019394577504887524,28,BB Train,18
PCA,0.0013731544112867342,0.0596071030413536,28,BB Train,18
VAE,2.2343099793066705e-4,0.01962491140661482,29,BB Train,18
PCA,0.0014174750830956927,0.060418570817670825,29,BB Train,18
VAE,2.7177863122576873e-4,0.020152463228527154,30,BB Train,18
PCA,0.0014188782933662947,0.061655099052258154,30,BB Train,18
VAE,3.2840528959854836e-4,0.02096321997768691,31,BB Train,18
PCA,0.0013989509028834786,0.061252875068336626,31,BB Train,18
VAE,2.2304089302266304e-4,0.01960142049031514,32,BB Train,18
PCA,0.0014289013334194713,0.06144682698186633,32,BB Train,18
VAE,2.2306338892089957e-4,0.019491878643066923,33,BB Train,18
PCA,0.0013768686485054707,0.05964578232554522,33,BB Train,18
VAE,2.2699887039260127e-4,0.019689833068333717,34,BB Train,18
PCA,0.0014474350747526754,0.06192601128693197,34,BB Train,18
VAE,1.9922383176915073e-4,0.01892831211015134,35,BB Train,18
PCA,0.001475431251312641,0.06059298499453803,35,BB Train,18
VAE,2.254983798340505e-4,0.019689185261168134,36,BB Train,18
PCA,0.0014063082017214915,0.06025287904244512,36,BB Train,18
VAE,2.0450003923317079e-4,0.019440462892922804,37,BB Train,18
PCA,0.001526537939293809,0.062345217810628864,37,BB Train,18
VAE,2.7242751196701126e-4,0.020066238017412835,38,BB Train,18
PCA,0.0013713385509653423,0.05971354987531438,38,BB Train,18
VAE,2.3772363558658669e-4,0.020270051071327545,39,BB Train,18
PCA,0.0014561226365753532,0.06209000081020867,39,BB Train,18
VAE,1.9928267502291743e-4,0.019236918163089367,40,BB Train,18
PCA,0.0015590854643220782,0.062004315816505264,40,BB Train,18
VAE,2.2504246031679608e-4,0.01962250924114506,41,BB Train,18
PCA,0.0013780135563543807,0.06034247726964965,41,BB Train,18
VAE,2.2792546775230667e-4,0.019876276781256794,42,BB Train,18
PCA,0.0014125832194009909,0.06147604217277455,42,BB Train,18
VAE,1.9822894796211042e-4,0.018843514124241872,43,BB Train,18
PCA,0.0014998809291724379,0.060462656834492916,43,BB Train,18
VAE,2.303076921051916e-4,0.020075869756864918,44,BB Train,18
PCA,0.0014516711228664161,0.06274204221180772,44,BB Train,18
