model,mse_cormat,mse,seed,data,d_dim
Poly,1.1774618529117857,21318.48290183946,1,BB Train,18
Cosine,6.431852811671095e-29,2.9000621977208906e-6,1,BB Train,18
Sigmoid,5.091220083753585e-31,2.9000621977204222e-6,1,BB Train,18
RBF,5.4268904263837535e-31,2.9000621977323375e-6,1,BB Train,18
Poly,1.1834786303819438,42636.96580077893,2,BB Train,18
Cosine,6.37967027774739e-29,2.90006219772066e-6,2,BB Train,18
Sigmoid,4.9569186515361e-31,2.9000621977205154e-6,2,BB Train,18
RBF,6.128295153143685e-31,2.9000621977316272e-6,2,BB Train,18
Poly,1.1826892138078102,42636.96580077915,3,BB Train,18
Cosine,6.337198870480153e-29,2.9000621977207462e-6,3,BB Train,18
Sigmoid,4.945572154310421e-31,2.9000621977205654e-6,3,BB Train,18
RBF,5.926044786191853e-31,2.900062197731751e-6,3,BB Train,18
Poly,1.1779516643552448,21318.482901839423,4,BB Train,18
Cosine,6.50589985560479e-29,2.9000621977205806e-6,4,BB Train,18
Sigmoid,4.932381578310406e-31,2.9000621977204764e-6,4,BB Train,18
RBF,6.0315048781288086e-31,2.9000621977319745e-6,4,BB Train,18
Poly,1.1819888976739479,42636.965800778984,5,BB Train,18
Cosine,6.336848906209236e-29,2.9000621977208818e-6,5,BB Train,18
Sigmoid,5.018441506760528e-31,2.9000621977205705e-6,5,BB Train,18
RBF,6.918242829290344e-31,2.9000621977318174e-6,5,BB Train,18
Poly,1.1835852582313262,42636.96580077892,6,BB Train,18
Cosine,6.391481511513228e-29,2.9000621977210202e-6,6,BB Train,18
Sigmoid,5.074471132226356e-31,2.9000621977205336e-6,6,BB Train,18
RBF,5.815900757867631e-31,2.9000621977316035e-6,6,BB Train,18
Poly,1.1308919426286967e-15,2.9000622737143938e-6,7,BB Train,18
Cosine,6.735348177879849e-29,2.900062197721057e-6,7,BB Train,18
Sigmoid,5.342723993283695e-31,2.9000621977205616e-6,7,BB Train,18
RBF,6.507088448506565e-31,2.9000621977316327e-6,7,BB Train,18
Poly,1.1774195835717178,21318.482901839412,8,BB Train,18
Cosine,6.494679615779575e-29,2.9000621977205624e-6,8,BB Train,18
Sigmoid,5.196263690183097e-31,2.9000621977205883e-6,8,BB Train,18
RBF,4.986839741625936e-31,2.9000621977311114e-6,8,BB Train,18
Poly,1.1829132293641895,42636.965800779035,9,BB Train,18
Cosine,6.415751206799938e-29,2.900062197720914e-6,9,BB Train,18
Sigmoid,4.9964783239689015e-31,2.900062197720395e-6,9,BB Train,18
RBF,4.925626051047756e-31,2.9000621977317797e-6,9,BB Train,18
Poly,1.1816136471700698,42636.96580077899,10,BB Train,18
Cosine,6.320423459557416e-29,2.900062197721113e-6,10,BB Train,18
Sigmoid,5.091541467554637e-31,2.900062197720479e-6,10,BB Train,18
RBF,6.354297021738888e-31,2.9000621977322858e-6,10,BB Train,18
Poly,1.1757982122290196,21318.482901839772,11,BB Train,18
Cosine,6.435066986922676e-29,2.9000621977204235e-6,11,BB Train,18
Sigmoid,5.123241458518253e-31,2.9000621977204447e-6,11,BB Train,18
RBF,5.776191012603192e-31,2.9000621977318686e-6,11,BB Train,18
Poly,1.177516410171431,21318.482901839576,12,BB Train,18
Cosine,6.473793298345873e-29,2.900062197720456e-6,12,BB Train,18
Sigmoid,5.054604033357321e-31,2.900062197720497e-6,12,BB Train,18
RBF,4.906338720006658e-31,2.900062197732122e-6,12,BB Train,18
Poly,8.331014395888459e-13,2.900184875484964e-6,13,BB Train,18
Cosine,6.593271864718609e-29,2.9000621977208275e-6,13,BB Train,18
Sigmoid,5.188879795143141e-31,2.9000621977205357e-6,13,BB Train,18
RBF,5.388069506946657e-31,2.9000621977318513e-6,13,BB Train,18
Poly,1.870746100079947e-20,2.900062198731714e-6,14,BB Train,18
Cosine,6.699214548089908e-29,2.900062197720925e-6,14,BB Train,18
Sigmoid,5.276271679534401e-31,2.9000621977205218e-6,14,BB Train,18
RBF,6.573076544632256e-31,2.900062197731296e-6,14,BB Train,18
Poly,4.1747741790668066e-15,2.90006234709587e-6,15,BB Train,18
Cosine,6.656974453613754e-29,2.9000621977206763e-6,15,BB Train,18
Sigmoid,5.156492211271201e-31,2.9000621977204947e-6,15,BB Train,18
RBF,6.752813563688295e-31,2.9000621977318466e-6,15,BB Train,18
Poly,1.1814950858673705,42636.96580077903,16,BB Train,18
Cosine,6.400858471376242e-29,2.9000621977209025e-6,16,BB Train,18
Sigmoid,4.879845555113911e-31,2.9000621977205116e-6,16,BB Train,18
RBF,6.089802152527245e-31,2.9000621977318186e-6,16,BB Train,18
