pathway_name,sage_value,sage_value_sd
Amino acids,1.2975996086414385,0.07956834283693512
Apolipoproteins,0.06679785521203972,0.008579875278657613
Cholesterol,0.20030888031546112,0.020943974200256055
Cholesteryl esters,0.1429671231290034,0.014314365382250656
Fatty acids,0.6438252520545874,0.03881064678491733
Fluid balance,0.1492719670392963,0.012975117116134022
Free cholesterol,0.07508691219125184,0.010103401871953226
Glycolysis related metabolites,0.2062144022738069,0.016999592618662174
Inflammation,0.05861110310280341,0.008867359559502925
Ketone bodies,0.10664767199729373,0.009912125086538019
Lipoprotein particle concentrations,0.1469669346603695,0.016771516016935783
Lipoprotein particle sizes,0.4734250474051686,0.03263388030664985
Lipoprotein subclasses,3.345720505617683,0.1608980917558338
Other lipids,0.33511164718744874,0.027956489269652555
Phospholipids,0.10794805474592946,0.010248149171072923
Total lipids,0.39423624851743355,0.020875271478503578
Triglycerides,0.06270318762063894,0.01196088748413352
