pathway_name,sage_value,sage_value_sd
Amino acids,0.1624286916803516,0.005751043550744208
Apolipoproteins,-0.040028813725031816,0.002009250425062464
Cholesterol,-0.08493189014837388,0.007201291541117546
Cholesteryl esters,0.08486982012832357,0.005458420559352317
Fatty acids,0.4351937456410975,0.011733657831703123
Fluid balance,0.009247733559718281,0.000989002666940537
Free cholesterol,0.002721836738848999,0.0012629773832219886
Glycolysis related metabolites,0.004309954799892472,0.002568244418195387
Inflammation,0.008245357470043553,0.0009379204627119646
Ketone bodies,0.08932251754094406,0.006961234654764562
Lipoprotein particle concentrations,-0.0008491738267494371,7.134737013557587e-05
Lipoprotein particle sizes,0.1604914750554249,0.017566415314686695
Lipoprotein subclasses,0.07886729658377133,0.021546460614813714
Other lipids,0.25714600258178577,0.016897915954534413
Phospholipids,0.0037547917640005676,0.001809705515183536
Total lipids,-0.2292835227544947,0.00730131260509527
Triglycerides,-0.09500426883661711,0.011550467037625587
